date,Thalapathy Vijay,Superstar Rajinikanth,isPartial
2019-01-01,7,7,False
2019-02-01,6,5,False
2019-03-01,6,4,False
2019-04-01,5,4,False
2019-05-01,6,3,False
2019-06-01,18,3,False
2019-07-01,5,3,False
2019-08-01,8,3,False
2019-09-01,7,3,False
2019-10-01,12,3,False
2019-11-01,9,3,False
2019-12-01,12,4,False
2020-01-01,12,3,False
2020-02-01,11,2,False
2020-03-01,15,3,False
2020-04-01,18,3,False
2020-05-01,17,2,False
2020-06-01,41,2,False
2020-07-01,16,1,False
2020-08-01,21,1,False
2020-09-01,14,1,False
2020-10-01,12,1,False
2020-11-01,15,1,False
2020-12-01,17,5,False
2021-01-01,33,1,False
2021-02-01,31,1,False
2021-03-01,21,1,False
2021-04-01,27,1,False
2021-05-01,39,1,False
2021-06-01,74,1,False
2021-07-01,31,1,False
2021-08-01,25,1,False
2021-09-01,19,1,False
2021-10-01,16,1,False
2021-11-01,18,1,False
2021-12-01,19,2,False
2022-01-01,30,1,False
2022-02-01,29,2,False
2022-03-01,31,1,False
2022-04-01,58,1,False
2022-05-01,42,1,False
2022-06-01,61,1,False
2022-07-01,28,1,False
2022-08-01,26,1,False
2022-09-01,25,1,False
2022-10-01,29,1,False
2022-11-01,28,1,False
2022-12-01,34,2,False
2023-01-01,65,1,False
2023-02-01,59,1,False
2023-03-01,51,1,False
2023-04-01,44,1,False
2023-05-01,37,1,False
2023-06-01,76,1,False
2023-07-01,41,1,False
2023-08-01,66,2,False
2023-09-01,71,1,False
2023-10-01,77,1,False
2023-11-01,70,1,False
2023-12-01,59,2,False
2024-01-01,51,1,False
2024-02-01,63,1,False
2024-03-01,43,1,False
2024-04-01,40,1,False
2024-05-01,34,1,False
2024-06-01,62,1,False
2024-07-01,40,1,False
2024-08-01,46,1,False
2024-09-01,100,1,False
2024-10-01,78,3,False
2024-11-01,55,1,False
2024-12-01,49,1,False
2025-01-01,48,1,False
2025-02-01,29,1,False
2025-03-01,46,1,False
2025-04-01,25,1,False
2025-05-01,25,0,False
2025-06-01,38,1,False
2025-07-01,22,1,False
2025-08-01,24,1,True
