date,Vijay,Rajinikanth,isPartial
2019-01-01,92,10,False
2019-02-01,84,13,False
2019-03-01,78,5,False
2019-04-01,83,6,False
2019-05-01,79,5,False
2019-06-01,96,4,False
2019-07-01,91,4,False
2019-08-01,82,5,False
2019-09-01,80,4,False
2019-10-01,97,4,False
2019-11-01,75,5,False
2019-12-01,77,8,False
2020-01-01,74,8,False
2020-02-01,72,5,False
2020-03-01,74,7,False
2020-04-01,89,8,False
2020-05-01,98,6,False
2020-06-01,94,5,False
2020-07-01,88,5,False
2020-08-01,82,4,False
2020-09-01,74,4,False
2020-10-01,77,3,False
2020-11-01,73,4,False
2020-12-01,71,14,False
2021-01-01,84,4,False
2021-02-01,88,3,False
2021-03-01,75,3,False
2021-04-01,81,4,False
2021-05-01,81,5,False
2021-06-01,100,4,False
2021-07-01,78,4,False
2021-08-01,66,3,False
2021-09-01,63,3,False
2021-10-01,62,6,False
2021-11-01,57,7,False
2021-12-01,71,6,False
2022-01-01,61,6,False
2022-02-01,67,4,False
2022-03-01,64,4,False
2022-04-01,86,3,False
2022-05-01,74,3,False
2022-06-01,68,4,False
2022-07-01,84,4,False
2022-08-01,76,4,False
2022-09-01,60,4,False
2022-10-01,60,4,False
2022-11-01,68,4,False
2022-12-01,63,6,False
2023-01-01,74,4,False
2023-02-01,65,4,False
2023-03-01,59,4,False
2023-04-01,67,3,False
2023-05-01,62,4,False
2023-06-01,83,3,False
2023-07-01,71,5,False
2023-08-01,81,16,False
2023-09-01,84,10,False
2023-10-01,70,7,False
2023-11-01,67,5,False
2023-12-01,73,8,False
2024-01-01,64,4,False
2024-02-01,66,5,False
2024-03-01,64,3,False
2024-04-01,67,4,False
2024-05-01,65,3,False
2024-06-01,69,4,False
2024-07-01,69,4,False
2024-08-01,70,4,False
2024-09-01,81,5,False
2024-10-01,72,9,False
2024-11-01,63,5,False
2024-12-01,68,6,False
2025-01-01,72,4,False
2025-02-01,49,2,False
2025-03-01,54,2,False
2025-04-01,56,3,False
2025-05-01,52,3,False
2025-06-01,91,3,False
2025-07-01,57,4,False
2025-08-01,54,9,True
